Txhash,Blockno,UnixTimestamp,DateTime (UTC),From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $0/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method
0x2c0f0107dc558e9221b67f05a47ec50f69e26a4ed0e77347a65d8ba277146874,4809253,1701538584,12/2/2023 17:36,0x2137c263aa1ebc16e6a820dc988c494a8b249696,0x079d08d489a10f07f43df6f2c1b9069fa110cf96,,0,0,0,5.20432E-06,0,,,,Grant Permission
0x19952e4c5ec0dc6c2ca305a0f7bf430b246e4339d194bfbbeb7cf5c64a59f9f0,4809254,1701538608,12/2/2023 17:36,0x2137c263aa1ebc16e6a820dc988c494a8b249696,0x079d08d489a10f07f43df6f2c1b9069fa110cf96,,0,0,0,9.29339E-06,0,,,,0xdd8b143e
0x80682e1e00dc408d73866891f9bf642a8a08c8dc91e0ec9f4964272228fc9839,4809256,1701538632,12/2/2023 17:37,0x2137c263aa1ebc16e6a820dc988c494a8b249696,0x079d08d489a10f07f43df6f2c1b9069fa110cf96,,0,0,0,4.44049E-06,0,,,,Grant Permission
0x5de1c4fc428cdcb44a91c07762640af3fa25a571686c24fe5ff619fa2af10d72,4809257,1701538644,12/2/2023 17:37,0x2137c263aa1ebc16e6a820dc988c494a8b249696,0x079d08d489a10f07f43df6f2c1b9069fa110cf96,,0,0,0,8.57741E-06,0,,,,0xdd8b143e
0x54fbe0bdc0a210136e38b1f2ff7626be1c150dae41d617403e7ef65fc49dcb7b,4809258,1701538656,12/2/2023 17:37,0x2137c263aa1ebc16e6a820dc988c494a8b249696,0x079d08d489a10f07f43df6f2c1b9069fa110cf96,,0,0,0,4.04652E-06,0,,,,Grant Permission
0xfdfd00d73fbd315459dd2cc66be26fb29a957b9f8c9ad0b2cde0a7b6a7879924,4809269,1701538788,12/2/2023 17:39,0x2137c263aa1ebc16e6a820dc988c494a8b249696,0x079d08d489a10f07f43df6f2c1b9069fa110cf96,,0,0,0,9.60802E-06,0,,,,0xdd8b143e
0x92fab9945de8215d412894560ac227e10e6cc4b153d433d0586206455ce3e18c,4809270,1701538800,12/2/2023 17:40,0x2137c263aa1ebc16e6a820dc988c494a8b249696,0x079d08d489a10f07f43df6f2c1b9069fa110cf96,,0,0,0,4.62631E-06,0,,,,Grant Permission
0xe05e608a58126204b72a2f5aff466711e946e48e223e1c94851f3b99a9516676,4809271,1701538812,12/2/2023 17:40,0x2137c263aa1ebc16e6a820dc988c494a8b249696,0x079d08d489a10f07f43df6f2c1b9069fa110cf96,,0,0,0,8.848E-06,0,,,,0xdd8b143e
0x14dde18cefc6f61d2152b72a108ce6061ca43676f13a7c3e4b983c3544e62112,4809272,1701538824,12/2/2023 17:40,0x2137c263aa1ebc16e6a820dc988c494a8b249696,0x079d08d489a10f07f43df6f2c1b9069fa110cf96,,0,0,0,3.91287E-06,0,,,,Grant Permission
0x4df1ed952b6e6c7fe9aaa63da1bb95f1c6556c28f3ca91e0377d2a8ee7cba541,4809282,1701538956,12/2/2023 17:42,0x2137c263aa1ebc16e6a820dc988c494a8b249696,0x079d08d489a10f07f43df6f2c1b9069fa110cf96,,0,0,0,1.40631E-05,0,,,,0xdd8b143e
